Date,DMA,Display_Impressions,Display_Clicks,Display_Spend,Gyms_Per_Sq_Mile,Weather_Condition,Gym_Memberships_Sold,Revenue,spend_up
2022-09-01,"New York, NY",54990,568,919.54,3.54,Cloudy,71,4671.82,control
2022-09-02,"New York, NY",43674,476,617.71,3.54,Cloudy,74,4837.7,control
2022-09-03,"New York, NY",49513,338,412.66,3.54,Snowy,88,5755.96,control
2022-09-04,"New York, NY",58243,618,1094.86,3.54,Rainy,98,6375.24,control
2022-09-05,"New York, NY",60575,475,531.63,3.54,Cloudy,92,6023.73,control
2022-09-06,"New York, NY",60382,688,880.16,3.54,Cloudy,80,5211.95,control
2022-09-07,"New York, NY",54703,455,611.91,3.54,Sunny,77,5055.96,control
2022-09-08,"New York, NY",40113,481,644.47,3.54,Sunny,68,4461.4,control
2022-09-09,"New York, NY",35986,324,538.05,3.54,Cloudy,73,4748.44,control
2022-09-10,"New York, NY",51082,402,728.84,3.54,Snowy,88,5739.2,control
2022-09-11,"New York, NY",58850,719,1412.32,3.54,Rainy,100,6535.46,control
2022-09-12,"New York, NY",54927,306,411.42,3.54,Cloudy,99,6460.67,control
2022-09-13,"New York, NY",56047,614,1185.78,3.54,Sunny,76,4975.88,control
2022-09-14,"New York, NY",51457,435,775.03,3.54,Cloudy,72,4722.47,control
2022-09-15,"New York, NY",62465,542,1022.44,3.54,Sunny,69,4495.74,control
2022-09-16,"New York, NY",43023,578,843.79,3.54,Cloudy,79,5157.97,control
2022-09-17,"New York, NY",53053,639,1001.95,3.54,Rainy,82,5358.92,control
2022-09-18,"New York, NY",51045,755,924.19,3.54,Rainy,102,6639.26,control
2022-09-19,"New York, NY",54627,656,1278.49,3.54,Sunny,96,6304.34,control
2022-09-20,"New York, NY",50540,293,472.49,3.54,Sunny,77,5054.02,control
2022-09-21,"New York, NY",49741,304,394.91,3.54,Cloudy,76,4955.84,control
2022-09-22,"New York, NY",46223,621,776.02,3.54,Sunny,71,4666.89,control
2022-09-23,"New York, NY",51018,282,551.1,3.54,Cloudy,77,5049.67,control
2022-09-24,"New York, NY",59729,476,486.34,3.54,Sunny,83,5444.8,control
2022-09-25,"New York, NY",50557,270,403.53,3.54,Cloudy,100,6554.02,control
2022-09-26,"New York, NY",58149,483,546.11,3.54,Sunny,95,6210.84,control
2022-09-27,"New York, NY",53265,740,1122.9,3.54,Rainy,80,5246.19,control
2022-09-28,"New York, NY",44069,634,854.69,3.54,Cloudy,74,4812.34,control
2022-09-29,"New York, NY",54479,357,495.97,3.54,Sunny,70,4575.22,control
2022-09-30,"New York, NY",49614,350,694.48,3.54,Sunny,75,4916.23,control
2022-10-01,"New York, NY",54181,716,1229.94,3.54,Sunny,82,5392.7,control
2022-10-02,"New York, NY",55570,293,411.27,3.54,Rainy,97,6347.78,control
2022-10-03,"New York, NY",49158,506,777.33,3.54,Sunny,98,6373.01,control
2022-10-04,"New York, NY",52991,601,987.04,3.54,Snowy,77,5008.41,control
2022-10-05,"New York, NY",52536,506,539.34,3.54,Rainy,73,4788.65,control
2022-10-06,"New York, NY",54878,618,701.71,3.54,Rainy,69,4499.29,control
2022-10-07,"New York, NY",47086,512,684.67,3.54,Sunny,79,5188.05,control
2022-10-08,"New York, NY",45844,251,443.76,3.54,Rainy,81,5284.54,control
2022-10-09,"New York, NY",57902,536,737.8,3.54,Cloudy,104,6766.63,control
2022-10-10,"New York, NY",49841,320,465.71,3.54,Cloudy,96,6268.12,control
2022-10-11,"New York, NY",48754,470,490.07,3.54,Cloudy,77,5045.67,control
2022-10-12,"New York, NY",60974,531,829.72,3.54,Cloudy,75,4903.24,control
2022-10-13,"New York, NY",53565,627,923.65,3.54,Rainy,70,4613.22,control
2022-10-14,"New York, NY",46780,247,370.28,3.54,Rainy,73,4804.8,control
